name,name_ascii,isCapital,latCentre,longCentre,iso2,iso3,countrySubIso
Sarrians,Sarrians,0,44.0833,4.9711,FR,FRA,NULL
Berghem,Berghem,0,51.77,5.5747,NL,NLD,NULL
Salton City,Salton City,0,33.2994,-115.9609,US,USA,NULL
Blue Bell,Blue Bell,0,40.1474,-75.2687,US,USA,NULL
Corcoran,Corcoran,0,45.1089,-93.5837,US,USA,NULL
Blanzy,Blanzy,0,46.7039,4.3903,FR,FRA,NULL
Collecorvino,Collecorvino,0,42.4667,14.0167,IT,ITA,NULL
Ocean City,Ocean City,0,30.4398,-86.6071,US,USA,NULL
Dives-sur-Mer,Dives-sur-Mer,0,49.2856,-0.1011,FR,FRA,NULL
General Sampaio,General Sampaio,0,-4.0528,-39.4539,BR,BRA,NULL
Walker,Walker,0,30.485,-90.8656,US,USA,NULL
St. James,St. James,0,33.9467,-78.1132,US,USA,NULL
Spangenberg,Spangenberg,0,51.1167,9.6667,DE,DEU,NULL
Bir Anzarane,Bir Anzarane,0,23.8883,-14.5306,MA,MAR,NULL
Kirchbichl,Kirchbichl,0,47.5167,12.0667,AT,AUT,NULL
Ebersdorf bei Coburg,Ebersdorf bei Coburg,0,50.22,11.0706,DE,DEU,NULL
Woodend,Woodend,0,-37.363,144.526,AU,AUS,NULL
Puebla de la Calzada,Puebla de la Calzada,0,38.9,-6.6167,ES,ESP,NULL
Hvardiys’ke,Hvardiys'ke,0,48.7328,35.311,UA,UKR,NULL
Geghahovit,Geghahovit,0,40.1044,45.2897,AR,ARG,NULL
Inaciolândia,Inaciolandia,0,-18.4878,-49.9869,BR,BRA,NULL
Camp Swift,Camp Swift,0,30.1885,-97.2933,US,USA,NULL
South Run,South Run,0,38.7467,-77.2754,US,USA,NULL
Pecan Plantation,Pecan Plantation,0,32.3628,-97.6554,US,USA,NULL
Nieul-sur-Mer,Nieul-sur-Mer,0,46.2067,-1.1636,FR,FRA,NULL
Vernaison,Vernaison,0,45.6478,4.8114,FR,FRA,NULL
Tápiószecs?,Tapioszecso,0,47.45,19.6,HU,HUN,NULL
Cadeo,Cadeo,0,44.9667,9.8333,IT,ITA,NULL
Elva,Elva,0,58.2275,26.4158,EE,EST,NULL
New Whiteland,New Whiteland,0,39.5617,-86.0996,US,USA,NULL
La Roquette-sur-Siagne,La Roquette-sur-Siagne,0,43.58,6.9556,FR,FRA,NULL
Sylvester,Sylvester,0,31.53,-83.8338,US,USA,NULL
Balabyne,Balabyne,0,47.735,35.2142,UA,UKR,NULL
Boonville,Boonville,0,38.0469,-87.2846,US,USA,NULL
Inverloch,Inverloch,0,-38.6334,145.7278,AU,AUS,NULL
Pouso Alto,Pouso Alto,0,-22.1939,-44.9728,BR,BRA,NULL
Boothwyn,Boothwyn,0,39.8357,-75.4453,US,USA,NULL
Moergestel,Moergestel,0,51.55,5.1833,NL,NLD,NULL
Orange Beach,Orange Beach,0,30.2941,-87.5851,US,USA,NULL
Silandro,Silandro,0,46.6283,10.7681,IT,ITA,NULL
La Ville-aux-Dames,La Ville-aux-Dames,0,47.3958,0.7644,FR,FRA,NULL
Serraria,Serraria,0,-6.82,-35.6328,BR,BRA,NULL
Buena Vista,Buena Vista,0,43.4196,-83.8992,US,USA,NULL
Solvay,Solvay,0,43.0573,-76.2126,US,USA,NULL
Whittlesea,Whittlesea,0,-37.5139,145.114,AU,AUS,NULL
Champion Heights,Champion Heights,0,41.3031,-80.8514,US,USA,NULL
East Foothills,East Foothills,0,37.3827,-121.8138,US,USA,NULL
South Gate Ridge,South Gate Ridge,0,27.2856,-82.497,US,USA,NULL
Bodelshausen,Bodelshausen,0,48.3942,8.9725,DE,DEU,NULL
Newberry,Newberry,0,29.6385,-82.6057,US,USA,NULL
Breña Baja,Brena Baja,0,28.6167,-17.7667,ES,ESP,NULL
Amrharas,Amrharas,0,31.21,-8.1834,MA,MAR,NULL
Niedergörsdorf,Niedergorsdorf,0,51.9792,13,DE,DEU,NULL
Noormarkku,Noormarkku,0,61.5917,21.8694,FI,FIN,NULL
São João do Sabugi,Sao Joao do Sabugi,0,-6.7178,-37.2008,BR,BRA,NULL
Cammarata,Cammarata,0,37.6311,13.6322,IT,ITA,NULL
Marnaz,Marnaz,0,46.0592,6.5258,FR,FRA,NULL
Mayfield,Mayfield,0,43.1248,-74.26,US,USA,NULL
Carentan,Carentan,0,49.3033,-1.2483,FR,FRA,NULL
Lardy,Lardy,0,48.5222,2.2653,FR,FRA,NULL
Esvres,Esvres,0,47.2844,0.7861,FR,FRA,NULL
Glenwood,Glenwood,0,41.0446,-95.7408,US,USA,NULL
Vesyegonsk,Vesyegonsk,0,58.65,37.2667,RU,RUS,NULL
Homer,Homer,0,42.6661,-76.1701,US,USA,NULL
Aire-sur-l’Adour,Aire-sur-l'Adour,0,43.7031,-0.2628,FR,FRA,NULL
Rolde,Rolde,0,52.9869,6.6461,NL,NLD,NULL
West Greenwich,West Greenwich,0,41.6291,-71.6671,US,USA,NULL
Trans-en-Provence,Trans-en-Provence,0,43.5033,6.4861,FR,FRA,NULL
Kenedy,Kenedy,0,28.8176,-97.8518,US,USA,NULL
Pimmit Hills,Pimmit Hills,0,38.9105,-77.1991,US,USA,NULL
Casalbordino,Casalbordino,0,42.15,14.5833,IT,ITA,NULL
Edinboro,Edinboro,0,41.8762,-80.1246,US,USA,NULL
Murashi,Murashi,0,59.3833,48.9667,RU,RUS,NULL
